ID,H,G,Epoch,MeanAnomaly,ArgPerihelion,LongAscNode,Inclination,Eccentricity,MeanMotion,SemiMajorAxis,Uncertainty,Reference,NObs,NOppositions,ObsStart,ObsEnd,RMS,CoarsePerturbers,PrecisePerturbers,Computer,ReadableDesignation,LastObsDate
c0401,16.13,0.15,K2555,15.79285,33.14035,71.241,14.75672,0.1827413,0.18120949,3.0927781,0,MPO904458,282.0,11,2002,025,0.96,M-v,3Ek,MPCLINUX,(380401) 2002 XQ119,20250225
c0501,18.6,0.15,K2555,91.52731,115.47579,358.45258,1.66082,0.1501185,0.28729026,2.2746895,0,E2025-KE2,145.0,10,2004,025,0.94,M-v,3Ek,MPCLINUX,(380501) 2004 DZ57,20250530
c0601,16.46,0.15,K2555,269.22322,185.24072,186.00525,18.38596,0.0837104,0.22747901,2.6577155,0,MPO843898,399.0,13,1991,024,0.7,M-v,3Ek,MPCLINUX,(380601) 2004 SD54,20240505
c0701,15.85,0.15,K2555,34.96726,335.4298,85.99514,12.53396,0.1340145,0.17836593,3.125562,0,MPO904460,373.0,15,1999,025,0.91,M-v,3Ek,MPCLINUX,(380701) 2005 JK117,20250227
c0801,17.62,0.15,K2555,314.32664,153.8538,272.02934,3.96307,0.1994283,0.24644205,2.5195685,0,E2024-V16,147.0,9,2001,023,0.89,M-v,3Ek,Pan,(380801) 2005 WA164,20230608
c0901,16.89,0.15,K2555,268.14889,142.30564,163.89199,13.10819,0.0895577,0.21322931,2.7748411,0,MPO916845,194.0,11,2003,025,0.95,M-v,3Ek,MPCLINUX,(380901) 2006 DX126,20250502
c1001,17.57,0.15,K2555,7.11312,226.1708,329.41477,6.53187,0.0192701,0.29456935,2.2370602,0,MPO916846,293.0,13,2003,025,0.83,M-v,3Ek,MPCLINUX,(381001) 2006 TZ64,20250428
c1101,17.53,0.15,K2555,26.59739,218.50299,244.80941,4.12188,0.1874792,0.27065999,2.3669369,0,MPO904462,298.0,11,2006,025,0.88,M-v,3Ek,MPCLINUX,(381101) 2007 CX34,20250301
c1201,16.11,0.15,K2555,94.43995,1.65105,340.04684,9.12186,0.1155923,0.17923351,3.1154676,0,MPO890935,306.0,12,2007,025,0.88,M-v,3Ek,MPCLINUX,(381201) 2007 RF57,20250104
c1301,16.07,0.15,K2555,2.54257,76.26393,41.73714,17.26413,0.1829344,0.1771294,3.1400913,0,MPO916848,333.0,12,2004,025,0.94,M-v,3Ek,MPCLINUX,(381301) 2007 UQ53,20250422
c1401,17.14,0.15,K2555,278.7855,222.99813,18.61645,6.99975,0.0976026,0.28062928,2.310543,0,MPO916848,503.0,14,2005,025,0.89,M-v,3Ek,MPCLINUX,(381401) 2008 GL112,20250424
c1501,17.03,0.15,K2555,204.4608,182.08853,205.38647,4.80279,0.0713841,0.2120048,2.7855156,0,E2025-KA9,182.0,13,1994,025,1.01,M-v,3Ek,MPCLINUX,(381501) 2008 SW123,20250526
c1601,16.69,0.15,K2555,266.95597,213.20348,76.38143,6.78167,0.0351439,0.20406963,2.8572646,0,MPO916849,222.0,14,2003,025,0.95,M-v,3Ek,MPCLINUX,(381601) 2008 VA66,20250326
c1701,16.38,0.15,K2555,334.13632,138.14736,354.13204,11.1363,0.2002725,0.17354182,3.1832197,0,MPO904467,252.0,12,2003,025,0.88,M-v,3Ek,MPCLINUX,(381701) 2009 EU13,20250122
c1801,17.57,0.15,K2555,128.45771,128.32865,2.97667,2.39683,0.0984973,0.29763519,2.2216716,0,E2025-KE2,280.0,14,2001,025,0.95,M-v,3Ek,MPCLINUX,(381801) 2009 UN68,20250530
c1901,16.24,0.15,K2555,236.28872,124.05236,322.57044,27.60881,0.2487877,0.23079191,2.6322209,0,E2025-O36,285.0,8,2006,025,0.8,M-v,3Ek,MPCLINUX,(381901) 2010 CG2,20250720
