id,geo_point_2d,intensidad,alcaldia,area_m2,perime_m,intens_num,int2
790.0,"19.3729823402,-99.0550439581",Muy Alto,Iztapalapa,10687.7948629,421.310261815,100,5
791.0,"19.3823495342,-99.0702661962",Muy Alto,Iztapalapa,365979.023644,2980.95478425,100,5
793.0,"19.3276668657,-99.0520583279",Muy Alto,Iztapalapa,81617.2966013,1710.76131182,100,5
795.0,"19.333969597,-99.0446893393",Muy Alto,Iztapalapa,310852.897308,2609.95590134,100,5
810.0,"19.304653196,-99.0657855819",Muy Alto,Iztapalapa,151458.098545,1638.40291498,100,5
817.0,"19.3628767409,-99.2270030874",Muy Bajo,Álvaro Obregón,251046.580885,3065.23011904,0 a 25,1
829.0,"19.3916154282,-99.0964548089",Muy Alto,Iztacalco,88776.0916263,1358.10310392,100,5
834.0,"19.3304549227,-99.0851230573",Medio,Iztapalapa,132262.971729,1809.75287916,50 a 72,3
843.0,"19.3781329188,-99.0491132928",Muy Alto,Iztapalapa,19395.3295457,664.816032832,100,5
853.0,"19.3739629919,-99.0288813783",Alto,Iztapalapa,202339.93361,2133.35211353,73 a 99,4
863.0,"19.3387239165,-99.0118651775",Muy Bajo,Iztapalapa,169236.904938,3173.72158508,0 a 25,1
874.0,"19.3788807765,-99.057615459",Muy Alto,Iztapalapa,334787.926904,3578.80978286,100,5
912.0,"19.3307884004,-99.0680271467",Muy Alto,Iztapalapa,185360.217494,1789.10904486,100,5
940.0,"19.3532065298,-99.0085640815",Medio,Iztapalapa,247835.317358,2932.50107006,50 a 72,3
942.0,"19.344793619,-98.9935595499",Muy Bajo,Iztapalapa,176340.918546,2083.21751468,0 a 25,1
943.0,"19.3429606635,-98.9967025827",Muy Bajo,Iztapalapa,194394.990563,1951.73451062,0 a 25,1
988.0,"19.3251115122,-99.0615113111",Muy Alto,Iztapalapa,60734.8942552,1004.6777385,100,5
989.0,"19.3316692341,-99.0636281599",Muy Alto,Iztapalapa,86151.3819719,1230.72993154,100,5
4.0,"19.2602911822,-99.0976968264",Muy Alto,Xochimilco,193874.809681,1969.92474162,100,5
23.0,"19.304210835,-99.2298105415",Muy Bajo,Tlalpan,223769.953534,2124.38614637,0 a 25,1
33.0,"19.3746769444,-99.143093963",Muy Alto,Benito Juárez,355898.042513,2564.9726072,100,5
44.0,"19.2451177901,-99.0646585465",Muy Bajo,Xochimilco,2168685.34872,10008.7827885,0 a 25,1
71.0,"19.3756250638,-99.138122768",Muy Alto,Benito Juárez,150758.261393,1653.11273133,100,5
79.0,"19.3803061077,-99.1680075816",Muy Alto,Benito Juárez,295591.305144,2266.4944963,100,5
128.0,"19.3919527231,-99.2028698942",Muy Bajo,Álvaro Obregón,215042.744275,2417.46344422,0 a 25,1
145.0,"19.2782899292,-99.1205639749",Muy Alto,Xochimilco,264513.864057,2555.45927948,100,5
150.0,"19.2834636437,-99.1040373012",Alto,Xochimilco,935238.295728,6527.15373323,73 a 99,4
162.0,"19.2547992126,-99.1199643562",Muy Alto,Xochimilco,217762.817735,2449.81808933,100,5
171.0,"19.3809291203,-99.2457600646",Muy Bajo,Álvaro Obregón,239524.674138,2435.14987838,0 a 25,1
181.0,"19.2569934059,-99.1020040452",Muy Alto,Xochimilco,230192.837266,1986.28336537,100,5
188.0,"19.284053003,-99.1996374836",Bajo,Tlalpan,364991.748111,2774.19601166,26 a 49,2
193.0,"19.2761258887,-99.2228250533",Bajo,Tlalpan,300070.326627,2687.38841029,26 a 49,2
